All the cities in a continent organised by largest population to smallest
Moscow	 | 	Russian Federation	 | 	Moscow (City)	 | 	8389200
Saint Helier	 | 	United Kingdom	 | 	Jersey	 | 	27523
Gibraltar	 | 	Gibraltar	 | 	–	 | 	27025
Douglas	 | 	United Kingdom	 | 	–	 | 	23487
Birkirkara	 | 	Malta	 | 	Outer Harbour	 | 	21445
Andorra la Vella	 | 	Andorra	 | 	Andorra la Vella	 | 	21189
Tórshavn	 | 	Faroe Islands	 | 	Streymoyar	 | 	14542
Monte-Carlo	 | 	Monaco	 | 	–	 | 	13154
Valletta	 | 	Malta	 | 	Inner Harbour	 | 	7073
Schaan	 | 	Liechtenstein	 | 	Schaan	 | 	5346
Vaduz	 | 	Liechtenstein	 | 	Vaduz	 | 	5043
Serravalle	 | 	San Marino	 | 	Serravalle/Dogano	 | 	4802
San Marino	 | 	San Marino	 | 	San Marino	 | 	2294
Longyearbyen	 | 	Svalbard and Jan Mayen	 | 	Länsimaa	 | 	1438
Monaco-Ville	 | 	Monaco	 | 	–	 | 	1234
Città del Vaticano	 | 	Holy See (Vatican City State)	 | 	–	 | 	455
